model;fold;train_time;mean_absolute_error;median_absolute_error;mean_squared_error;root_mean_squared_error
linear_reg;1;0.015010356903076172;0.13234066759311308;0.07382960290963711;0.04850628221907715;0.22024141803729186
linear_reg;2;0.014966964721679688;0.23765900089579162;0.09058980165755531;0.804318415271501;0.8968380094930751
linear_reg;3;0.014972925186157227;0.10330445722426225;0.08237544593689618;0.02486080948088793;0.15767310956814395
linear_reg;4;0.014846086502075195;0.08313283178056213;0.0635258766715858;0.018224548987424056;0.1349983295727175
linear_reg;5;0.014828681945800781;0.11420793858102338;0.060876691272293226;0.03528889569170551;0.18785338882145702
mlp;1;0.3836860656738281;0.07570702956117314;0.05752466064754827;0.010784700373913998;0.10384941200562475
mlp;2;0.3795466423034668;0.08277062737135274;0.06353237976199044;0.013543215013056654;0.11637531960453064
mlp;3;0.33955955505371094;0.0667228048678219;0.05589945025840608;0.0069542333935464365;0.0833920463446391
mlp;4;0.2939331531524658;0.048581942925924014;0.04316714945477203;0.0035823343254052496;0.059852605000995984
mlp;5;0.2996816635131836;0.08324811936387193;0.05052502784884311;0.0187501121378238;0.13693104884511695
svm;1;0.013127565383911133;0.0722579610740525;0.06327370705460626;0.009531791802890465;0.09763089573946593
svm;2;0.013263225555419922;0.08567150175992026;0.07221102156631072;0.013243461285131998;0.11508023846487284
svm;3;0.010910272598266602;0.067215645651558;0.059176904048010716;0.006446350790145111;0.08028916981850734
svm;4;0.01191854476928711;0.04969352429498703;0.048271509495677364;0.0036384931366932717;0.06031992321524682
svm;5;0.010201215744018555;0.08538180282416402;0.05832488539663582;0.017260665909061453;0.13137985351286344
d_tree;1;0.005733966827392578;0.07016556245247917;0.05502056666770644;0.009818713132355123;0.09908941988101012
d_tree;2;0.003844022750854492;0.08034786649178241;0.06019469600999995;0.013409865915842041;0.11580097545289522
d_tree;3;0.007531166076660156;0.06360032880497153;0.05483538865678361;0.0063565935306059045;0.07972824800913353
d_tree;4;0.004148960113525391;0.04399380402119253;0.038196489191354856;0.003186369635665139;0.05644793739070666
d_tree;5;0.0038416385650634766;0.08110619879241032;0.04712788103588606;0.018674399109761267;0.13665430512706603
forest;1;0.46774935722351074;0.07191998510078562;0.05464505829218866;0.010269135690080373;0.10133674402742755
forest;2;0.4494788646697998;0.0817628382460927;0.06453042340628058;0.01287445796948538;0.11346566868214095
forest;3;0.4606013298034668;0.058772762761994904;0.05407648423680232;0.005743091127182052;0.07578318498969314
forest;4;0.4614260196685791;0.0469220873017736;0.04463003251691263;0.0034330973410098354;0.05859263896608374
forest;5;0.45844435691833496;0.08102936526901897;0.04677791119426287;0.017921302356442678;0.13387046857482301
